ID,author,author_id,year,title,booktitle/journal+editor+publisher,pages,type,note_lang,note_theme,pdf_link,url,DOI,ISBN/eISBN,annotator,,,,,
1,"Ландер, Юрий Александрович",lander-y,2024,Псевдоклефты и «вопросительные слова» в апсуанском говоре абазинского языка,"Клычевские чтения - 2024. Материалы международной научной конференции. / Отв. ред.: С. У. Пазов.
. Карачаевск: Издательство Карачаево-Черкесского государственного университета имени У.Д. Алиева, 2024",67–77,Глава книги,абазинский,морфосинтаксис,https://publications.hse.ru/pubs/share/direct/918924565.pdf,https://publications.hse.ru/view/918924568,to_find,978-5-8307-0730-5,Кочеткова Ирина,,,,,
2,"Arkadiev, Peter and Lander, Yury and Bagirokova, Irina","arkadiev-p, lander-y, bagirokova-i",2024,Applicative constructions in the Northwest Caucasian languages,"Applicative Constructions in the World's Languages. / Ed. by F. Zúñiga, D. Creissels. Berlin: De Gruyter Mouton, 2024.",869–912,Глава книги,"адыгейский, кабардинский, абазинский, абхазский, убыхский",морфосинтаксис,to_find,https://doi.org/10.1515/9783110730951-025,10.1515/9783110730951-025,,Кочеткова Ирина,,,,,
3,"Багирокова, Ирина Гаруновна and Ландер, Юрий Александрович and Тестелец, Яков Георгиевич","bagirokova-i, lander-y, testelets-y",2024,Мыст… (универсальный филлер в адыгейском языке),"Состав науки: Сборник статей к юбилею Веры Исааковны Подлесской. / Под общ. ред.: Н. А. Коротаев, Н. Р. Сумбатова. М.: Буки Веди, 2024",217–234,Глава книги,адыгейский,"морфосинтаксис, грамматическая семантика",https://publications.hse.ru/pubs/share/direct/869490178.pdf,https://publications.hse.ru/view/869490196,to_find,,Кочеткова Ирина,,,,,
4,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна and Архангельский, Тимофей Александрович","lander-y, bagirokova-i, arkhangelsky-t",2024,Адыгейский корпус и преподавание языка,"Инновационные подходы в обучении адыгским литературным языкам в полилингвальном пространстве. Майкоп: Адыгейский государственный университет, 2024",В печати,Глава книги,адыгейский,"корпусная лингвистика, язык как иностранный",https://publications.hse.ru/pubs/share/direct/345447812.pdf,https://publications.hse.ru/view/345447817,to_find,,Кочеткова Ирина,,,,,
5,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна and Унарокова, Шамсет Шабановна","lander-y, bagirokova-i, unarokova-s",2024,Обособленный топик в абхазо-адыгских языках,Вестник Санкт-Петербургского университета. Язык и литература. 2024. № 3.,В печати,Статья,"адыгейский, кабардинский, абазинский, абхазский","корпусная лингвистика, морфосинтаксис",https://publications.hse.ru/pubs/share/direct/869503928.pdf,https://doi.org/10.21638/spbu09.2024.311,10.21638/spbu09.2024.311,,Кочеткова Ирина,,,,,
6,"Ландер, Юрий Александрович and Унарокова, Шамсет Шабановна","lander-y, unarokova-s",2024,Принципы выделения местоименных серий (на материале адыгейских демонстративов),Вопросы языкознания. 2024. № 2. С. 93–121.,93–121,Статья,адыгейский,"грамматическая семантика, морфосинтаксис",https://publications.hse.ru/pubs/share/direct/869504045.pdf,https://doi.org/10.31857/0373-658X.2024.2.93-121,10.31857/0373-658X.2024.2.93-121,,Кочеткова Ирина,,,,,
7,"Ландер, Юрий Александрович",lander-y,2023,Именные vs неименные сказуемые в абазинском языке,"Клычевские чтения - 2023. Материалы международной научной конференции.
Карачаевск: Издательство Карачаево-Черкесского государственного университета имени У.Д. Алиева",5–10,Глава книги,абазинский,морфосинтаксис,https://publications.hse.ru/pubs/share/direct/837372185.pdf,https://publications.hse.ru/view/837372192,to_find,,Кочеткова Ирина,,,,,
8,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна","lander-y, bagirokova-i",2023,Множественное число приблизительности в адыгейском языке,"Актуальные вопросы общей и адыгской филологии : материалы Международного симпозиума, посвященного 100-летию со дня рождения профессора З.И. Керашевой.",84–90,Глава книги,адыгейский,"морфосинтаксис, грамматическая семантика",https://publications.hse.ru/pubs/share/direct/837371812.pdf,https://publications.hse.ru/chapters/837371828,to_find,978-5-8307-0705-3,Кочеткова Ирина,,,,,
9,"Lander, Yury and Bagirokova, Irina and Felan, Paul","lander-y, bagirokova-i, felan-p",2022,Number in West Circassian,"Number in the World's Languages. / Ed. by P. Acquaviva, M. Daniel.
Berlin: De Gruyter Mouton, 2022",261–304,Глава книги,адыгейский,"морфосинтаксис, грамматическая семантика",https://elib.hse.ru/Ebook/pdf.php?name=Ebsco_Ebook_3286328.pdf,https://doi.org/10.1515/9783110622713-009,10.1515/9783110622713-009,9.78311E+12,Кумараге,,,,,
10,"Lander, Yury and Bagirokova, Irina","lander-y, bagirokova-i",2022,West Circassian Imperative-Optative System: A Study in a Prototype-Based Organisation of a Grammatical Domain,Syntaxe et Sémantique. 2022. Vol. 22. No. 1.,57–81,Статья,адыгейский,"морфосинтаксис, грамматическая семантика",https://shs.cairn.info/article/SS_022_0057/pdf?lang=en,https://doi.org/10.3917/ss.022.0057,10.3917/ss.022.0057,,Кумараге,,,,,
